hanao famandrihan-toerana Tana-Antsirabe azafady ?	reservation
mbola misy malalaka ve ny mandeha amin'ny 7 azafady ?	reservation
hankany Antsirabe	reservation
ohatrinona ny saran-dalana azafady ?	reservation
amin'ny firy ny fiaingana aloha indrindra ?	reservation
hanao famandrihana ho an'ny rahampitso	reservation
miasa andro tsy fiasana ve ?	reservation
misy fiaingana ve amin'ny alahady zao ?	reservation
handeha Tana	reservation
hanao famandrihana ho an'ny talata ho avy zao	reservation
ohatrinona ny mandefa entana	colis
firy kg ny entana farany ambony azo alefa ?	colis
amin'ny firy ny fakana entana azafady?	colis
isaky ny amin'ny firy no misy fandefasana entana ?	colis
inona avy ny entana azo alefa azafady ?	colis
amin'ny firy ny fandraisana entana ?	colis
handefa entana mavesatra ve ?	colis
hangataka ny tarif azafady	colis
inona no fiara mitondra ny colis ?	colis
azo antoka ve ny fandefasana entana ?	colis
hiresaka amin'ny tompon'andraikitra	filan-kevitra
mahafinaritra ny fikarakarana	filan-kevitra
ahoana ny atao raha tsy nahatratra fiara?	filan-kevitra
tokony asiana zotra mandeha amin'ny alina	filan-kevitra
tokony manokatra zotra vaovao	filan-kevitra
aiza avy no misy ny terminus ?	filan-kevitra
aiza avy no misy ny koperativa ?	filan-kevitra
mandray olona alahady ve ?	filan-kevitra
tokony hatsaraina ny fiara	filan-kevitra
hangataka famerenam-bola azafady	filan-kevitra
